"EventId","Timestamp","Level","EventType","Source","ShareId","ItemId","Message","Detail"
"ID-71834E29C1C4","ID-600B40CA5A1E","Info","ID-3EEC13DCA519","TargetPath","ID-C134A27B34F9","","ID-7A28C2CD5E64","ID-B7B4BB934C5D"
"ID-02395636916A","ID-41154B960C01","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-467AC3C59612","","ID-FD73FE7D5BE7","ID-CD8B2B705E96"
"ID-D524575AA38E","ID-945E5FC050D6","Info","ID-3EEC13DCA519","TargetPath","ID-467AC3C59612","","ID-E6C0EC185D7B","ID-CD8B2B705E96"
"ID-C969A58A8865","ID-F19031ECCCA3","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-B8C54BECF801","","ID-358213900BF5","ID-38B4034675B7"
"ID-5FE046791F90","ID-910F2F9C105B","Info","ID-3EEC13DCA519","TargetPath","ID-B8C54BECF801","","ID-CEDB701D7163","ID-38B4034675B7"
"ID-8E08B71A0B0E","ID-462C1585A6A5","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-14F183ABA571","","ID-C0E37707B1A0","ID-D82C7F06820B"
"ID-D4E35C8172FB","ID-2C8648C616E9","Info","ID-3EEC13DCA519","TargetPath","ID-14F183ABA571","","ID-CEB3BB7C6E6C","ID-D82C7F06820B"
"ID-A8F004EAA3D7","ID-ED4B9DA047D6","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-0947C5370084","","ID-81F2B0CBC69E","ID-94DE6835A819"
"ID-D4B65D2BC5DC","ID-4AE86CF0036F","Info","ID-3EEC13DCA519","TargetPath","ID-0947C5370084","","ID-0D69238B3E34","ID-94DE6835A819"
"ID-469E19BB2278","ID-056BC7C84398","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-2DEEF7075A0E","","ID-6E603285F4DC","ID-11C47CF5CE4D"
"ID-BBEA68680E5A","ID-028E8CEFB08E","Info","ID-3EEC13DCA519","TargetPath","ID-2DEEF7075A0E","","ID-D1C2DA5CBBDC","ID-11C47CF5CE4D"
"ID-77C61CA4049D","ID-135D2B982BD9","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-45DF41C82285","","ID-EEA724E26280","ID-05AC79511E53"
"ID-13B60EAB2E25","ID-AC1DC30C2828","Info","ID-3EEC13DCA519","TargetPath","ID-45DF41C82285","","ID-33D1062F7CEF","ID-05AC79511E53"
"ID-8A3F1CA1323B","ID-4F28D57D0BA0","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-617F2AEC3D19","","ID-7DD35F32A073","ID-6AA3534B74DF"
